club,status,county,platform,sheets,postcode,reason,evidence_url
New Mills Golf Club,unresolved,derbyshire,no_site,0,,no working website found,
Shirland Golf Club,unresolved,derbyshire,no_site,0,,no working website found,
South Chesterfield Golf Club,unresolved,derbyshire,no_site,0,,no working website found,
Stanedge Golf Club,unresolved,derbyshire,no_site,0,,no working website found,
Swadlincote Golf Centre,unresolved,derbyshire,unknown,0,,homepage loaded (https://justgolfswadlincote.com/) but no platform signal found on it or 5 booking-ish link(s),
Tapton Park Golf Club,unresolved,derbyshire,no_site,0,,no working website found,
Tapton Park Golf Club (Dobbin Course),unresolved,derbyshire,no_site,0,,no working website found,
The Pastures Golf Club,unresolved,derbyshire,unknown,0,,homepage loaded (https://pasturesgolfclub.co.uk/) but no platform signal found on it or 4 booking-ish link(s),
Ashbury Golf Course,unresolved,devon,error,0,,site refused or failed to load,
Bay Hotel Golf Course,unresolved,devon,no_site,0,,no working website found,
Boringdon Park Golf Club,unresolved,devon,unknown,0,,site reachable (https://boringdonpark.com/) but no visitor booking found on it or 1 sub-page(s),
Bovey Castle Golf Course,unresolved,devon,unknown,0,,homepage loaded (https://www.boveycastle.com/) but no platform signal found on it or 13 booking-ish link(s),
Bovey Tracey Golf Club,unresolved,devon,dead_link,0,,no working website found,
Cayman Golf (Pitch and Putt),unresolved,devon,no_site,0,,no working website found,
Clovelly Golf Course,unresolved,devon,no_site,0,,no working website found,
Dawlish Approach Golf,unresolved,devon,no_site,0,,no working website found,
Dawlish Warren Golf Club,unresolved,devon,no_site,0,,no working website found,
Devon Golf & Conference Centre,unresolved,devon,no_site,0,,no working website found,
Dinnaton Golf Course,unresolved,devon,no_site,0,,no working website found,
East Devon Golf Club,unresolved,devon,unknown,0,,site reachable (https://www.edgc.co.uk/) but no visitor booking found on it or 0 sub-page(s),
Fingle Glen Golf Club,unresolved,devon,unknown,0,,site reachable (https://yctrust.uk/) but no visitor booking found on it or 0 sub-page(s),
Great Torrington Golf Club,unresolved,devon,unknown,0,,site reachable (https://www.torringtongolfclub.co.uk/) but no visitor booking found on it or 3 sub-page(s),
Hartland Forest,unresolved,devon,unknown,0,,homepage loaded (https://hartlandforestgolfclub.co.uk/) but no platform signal found on it or 0 booking-ish li,
Highbullen Golf Course,unresolved,devon,no_site,0,,no working website found,
Ilfracombe Golf Club,unresolved,devon,brs,0,,brs seen but no confirmed public visitor sheet — worth another look,
Libbaton Golf Club,unresolved,devon,error,0,,site refused or failed to load,
Mettaford Golf Course,unresolved,devon,no_site,0,,no working website found,
Mortehoe and Woolacombe Golf Club,unresolved,devon,unknown,0,,homepage loaded (https://www.woolacombe.co.uk/devon-holidays/golf-breaks) but no platform signal found on it o,
Oak Meadow Golf Club,unresolved,devon,no_site,0,,no working website found,
Otter Valley Golf Centre,unresolved,devon,error,0,,site refused or failed to load,
Plymouth Golf Centre,unresolved,devon,no_site,0,,no working website found,
Sparkwell Golf Course,unresolved,devon,no_site,0,,no working website found,
Teign Valley Golf Club,unresolved,devon,unknown,0,,site reachable (https://buydomainnames.co.uk/domain/teignvalleygolf.co.uk?offer=parked) but no visitor booking,
Thorn Park Golf Centre,unresolved,devon,no_site,0,,no working website found,
Torbay Golf Centre (Pitch and Putt),unresolved,devon,no_site,0,,no working website found,
Vic Ambler Golf Centre,unresolved,devon,no_site,0,,no working website found,
Warren Golf Club (Devon) Golf Club,unresolved,devon,brs,0,,brs seen but no confirmed public visitor sheet — worth another look,
Welbeck Manor Golf Club,unresolved,devon,error,0,,site refused or failed to load,
Westcountry Golf Academy,unresolved,devon,unknown,0,,homepage loaded (https://www.wgagolf.co.uk/) but no platform signal found on it or 1 booking-ish link(s),
Willingcott Valley Golf Course,unresolved,devon,no_site,0,,no working website found,
Wrangaton Golf Course,unresolved,devon,no_site,0,,no working website found,
Barnbougle Dunes Golf Course,unresolved,dorset,no_site,0,,no working website found,
Barnbougle Lost Farm Golf Course,unresolved,dorset,no_site,0,,no working website found,
Canford Golf Club,unresolved,dorset,unknown,0,,homepage loaded (https://www.canford.com/golf-club) but no platform signal found on it or 3 booking-ish link(s,
Charminster Golf Club,unresolved,dorset,error,0,,site refused or failed to load,
Chewton Glen Hotel Executive Course,unresolved,dorset,dead_link,0,,no working website found,
Dudmoor Farm Golf Course,unresolved,dorset,no_site,0,,no working website found,
Dudsbury Golf Club & Hotel,unresolved,dorset,unknown,0,,site reachable (https://dudsburygolfclub.co.uk/) but no visitor booking found on it or 0 sub-page(s),
Ferndown Forest Golf Club,unresolved,dorset,golf_manager,0,,golf_manager seen but no confirmed public visitor sheet — worth another look,https://eu.golfmanager.com/ferndownforest/consumer/book?area=100&resourceType=100
Folke Golf Centre,unresolved,dorset,error,0,,site refused or failed to load,
Hamworthy Club,unresolved,dorset,unknown,0,,homepage loaded (https://www.hamworthyclub.co.uk/) but no platform signal found on it or 2 booking-ish link(s),
Kirkwood Park,unresolved,dorset,no_site,0,,no working website found,
Knighton Heath Golf Course,unresolved,dorset,unknown,0,,homepage loaded (https://www.knightonheathgolfclub.co.uk/) but no platform signal found on it or 4 booking-ish,
Lodmoor Pitch and Putt,unresolved,dorset,no_site,0,,no working website found,
Merley Park Golf Course,unresolved,dorset,intelligent_golf,0,,intelligent_golf seen but no confirmed public visitor sheet — worth another look,
Milton Abbey Golf Course,unresolved,dorset,no_site,0,,no working website found,
Moorina Golf Club,unresolved,dorset,no_site,0,,no working website found,
Moors Valley Golf Course,unresolved,dorset,unknown,0,,homepage loaded (https://moors-valley.co.uk/wp-content/uploads/Golf-course.webp) but no platform signal found ,
Parkstone Golf Club,unresolved,dorset,error,0,,site refused or failed to load,
Remedy Oak,unresolved,dorset,intelligent_golf,0,,intelligent_golf seen but no confirmed public visitor sheet — worth another look,
Ringarooma Golf Course,unresolved,dorset,no_site,0,,no working website found,
Scottsdale Golf Course,unresolved,dorset,no_site,0,,no working website found,
Sherborne Golf Club,unresolved,dorset,error,0,,site refused or failed to load,
Solent Meads Golf Centre,unresolved,dorset,unknown,0,,homepage loaded (https://www.solentmeads.com/) but no platform signal found on it or 1 booking-ish link(s),
Swanage Golf Games,unresolved,dorset,unknown,0,,homepage loaded (https://swanagegolfgames.com/) but no platform signal found on it or 1 booking-ish link(s),
The Dorset Golf & Country Club & Resort,unresolved,dorset,unknown,0,,site reachable (https://www.dorsetgolfresort.com/) but no visitor booking found on it or 4 sub-page(s),
Weymouth Golf Club,unresolved,dorset,brs,0,,brs seen but no confirmed public visitor sheet — worth another look,
Wolfedale Golf Course,unresolved,dorset,no_site,0,,no working website found,
Bridlington Links Golf & Leisure Estate,unresolved,eastyorkshire,error,0,,site refused or failed to load,
Burstwick Country Club,unresolved,eastyorkshire,no_site,0,,no working website found,
Cave Castle Golf Club,unresolved,eastyorkshire,unknown,0,,site reachable (https://cavecastlegolfclub.co.uk/) but no visitor booking found on it or 0 sub-page(s),
Cherry Burton Golf Course,unresolved,eastyorkshire,no_site,0,,no working website found,
Far Grange Park & Golf Club,unresolved,eastyorkshire,error,0,,site refused or failed to load,
Flamborough Head Golf Club,unresolved,eastyorkshire,unknown,0,,homepage loaded (https://flamboroughheadgolfclub.co.uk/) but no platform signal found on it or 2 booking-ish l,
Hainsworth Park Golf Club,unresolved,eastyorkshire,no_site,0,,no working website found,
Hessle Golf Club,unresolved,eastyorkshire,no_site,0,,no working website found,
Hornsea Golf Club,unresolved,eastyorkshire,brs,0,,brs seen but no confirmed public visitor sheet — worth another look,
Hull Golf Club,unresolved,eastyorkshire,no_site,0,,no working website found,
Sewerby Park & Pitch and Putt,unresolved,eastyorkshire,unknown,0,,site reachable (https://www.sewerbyhall.co.uk/) but no visitor booking found on it or 2 sub-page(s),
Springhead Golf Course,unresolved,eastyorkshire,no_site,0,,no working website found,
Sutton Park Golf Course,unresolved,eastyorkshire,no_site,0,,no working website found,
Withernsea Golf Club,unresolved,eastyorkshire,dead_link,0,,no working website found,
Ballards Gore,unresolved,essex,unknown,0,,homepage loaded (https://www.ballardsgore.com/) but no platform signal found on it or 3 booking-ish link(s),
Belfairs Golf Club,unresolved,essex,unknown,0,,homepage loaded (https://www.belfairsgolfclub.co.uk/) but no platform signal found on it or 3 booking-ish link,
Bentley Golf Course,unresolved,essex,unknown,0,,homepage loaded (https://bentleygolfclub.com/) but no platform signal found on it or 5 booking-ish link(s),
Benton Hall Golf and Country Club,unresolved,essex,unknown,0,,homepage loaded (https://www.theclubcompany.com/) but no platform signal found on it or 1 booking-ish link(s),
Birch Grove Golf Club,unresolved,essex,unknown,0,,homepage loaded (https://birchgrovegolfclub.com/) but no platform signal found on it or 3 booking-ish link(s),
Bishop's Stortford Golf Club,unresolved,essex,no_site,0,,no working website found,
Bunsay Downs Golf Club,unresolved,essex,unknown,0,,homepage loaded (https://www.thewarrenestate.co.uk/golf) but no platform signal found on it or 4 booking-ish l,
Channels Golf Club,unresolved,essex,no_site,0,,no working website found,
Chelmsford Golf Course,unresolved,essex,intelligent_golf,0,,intelligent_golf seen but no confirmed public visitor sheet — worth another look,https://chelmsford.intelligentgolf.co.uk/visitorbooking/
Chesterford Research Park Golf Course,unresolved,essex,no_site,0,,no working website found,
Colchester Golf Club,unresolved,essex,intelligent_golf,0,,intelligent_golf seen but no confirmed public visitor sheet — worth another look,https://www.colchestergolfclub.com/visitorbooking
Crondon Park Golf & Country Club,unresolved,essex,unknown,0,,site reachable (https://crondonpark.com) but no visitor booking found on it or 2 sub-page(s),
Crowlands Heath Golf Club,unresolved,essex,unknown,0,,homepage loaded (https://www.crowlandsheath.co.uk/) but no platform signal found on it or 1 booking-ish link(s,
Dunton Hills,unresolved,essex,no_site,0,,no working website found,
Elsenham Golf and Leisure,unresolved,essex,unknown,0,,homepage loaded (https://golfworldstansted.co.uk/) but no platform signal found on it or 2 booking-ish link(s),
Forrester Park Golf Club,unresolved,essex,unknown,0,,homepage loaded (https://www.forrester-park.co.uk/golf/) but no platform signal found on it or 6 booking-ish l,
High Beech Golf Course,unresolved,essex,unknown,0,,homepage loaded (https://highbeechgolf.com/) but no platform signal found on it or 1 booking-ish link(s),
Hylands Golf Complex & Academy,unresolved,essex,no_site,0,,no working website found,
Langdon Hills Golf and Country Club,unresolved,essex,unknown,0,,homepage loaded (https://www.langdonhillsgolfclub.co.uk/) but no platform signal found on it or 1 booking-ish ,
Loughton Golf Club,unresolved,essex,no_site,0,,no working website found,
Maldon Golf Club,unresolved,essex,unknown,0,,homepage loaded (https://www.maldongolfclub.org/) but no platform signal found on it or 1 booking-ish link(s),
North Weald Golf Course,unresolved,essex,no_site,0,,no working website found,
Orsett Golf Club,unresolved,essex,clubv1,0,,clubv1 seen but no confirmed public visitor sheet — worth another look,https://orsett.hub.clubv1.com/
Play Golf Colchester (Lexden Wood Golf Course),unresolved,essex,intelligent_golf,0,,intelligent_golf seen but no confirmed public visitor sheet — worth another look,https://www.colchestergolfclub.com/visitorbooking
Rivenhall Oaks Golf Centre,unresolved,essex,unknown,0,,homepage loaded (https://www.rivenhalloaksgolf.com/) but no platform signal found on it or 3 booking-ish link(,
Rochford Hall Golf Course,unresolved,essex,no_site,0,,no working website found,
Rochford Hundred Golf Club,unresolved,essex,intelligent_golf,0,,intelligent_golf seen but no confirmed public visitor sheet — worth another look,https://www.rochfordhundredgolfclub.co.uk/visitorbooking/
Southend-on-Sea Golf Club,unresolved,essex,unknown,0,,homepage loaded (https://southendgolf.co.uk/) but no platform signal found on it or 2 booking-ish link(s),
Stock Brook Country Club,unresolved,essex,unknown,0,,homepage loaded (https://stockbrook.com/) but no platform signal found on it or 3 booking-ish link(s),
Stock Brook Manor Golf Club,unresolved,essex,unknown,0,,homepage loaded (https://stockbrook.com/) but no platform signal found on it or 3 booking-ish link(s),
Stoke by Nayland Golf Club,unresolved,essex,unknown,0,,homepage loaded (https://www.stokebynayland.com/) but no platform signal found on it or 5 booking-ish link(s),
The Burstead Golf Club,unresolved,essex,esp,0,,esp seen but no confirmed public visitor sheet — worth another look,
The Essex Golf Academy,unresolved,essex,no_site,0,,no working website found,
The Essex Golf and Country Club,unresolved,essex,unknown,0,,homepage loaded (https://www.theclubcompany.com/) but no platform signal found on it or 1 booking-ish link(s),
The Warren Golf Club,unresolved,essex,unknown,0,,homepage loaded (https://www.thewarrenestate.co.uk/golf) but no platform signal found on it or 4 booking-ish l,
Toot Hill Golf Course,unresolved,essex,unknown,0,,homepage loaded (https://www.toothillgolfclub.co.uk/) but no platform signal found on it or 3 booking-ish link,
Alexander Park Resort Golf Club,unresolved,gloucestershire,unknown,0,,homepage loaded (https://www.apresort.co.uk/golf/) but no platform signal found on it or 5 booking-ish link(s),
Broadway Golf Club,unresolved,gloucestershire,intelligent_golf,0,,intelligent_golf seen but no confirmed public visitor sheet — worth another look,
Canons Court Golf,unresolved,gloucestershire,no_site,0,,no working website found,
Chipping Sodbury Golf Club,unresolved,gloucestershire,intelligent_golf,0,,intelligent_golf seen but no confirmed public visitor sheet — worth another look,
Cotswold Edge Golf Club,unresolved,gloucestershire,unknown,0,,homepage loaded (https://www.cotswoldedgegolfclub.org.uk/) but no platform signal found on it or 1 booking-ish,
Cotswold Hills Golf Club,unresolved,gloucestershire,unknown,0,,homepage loaded (https://www.cotswoldhills-golfclub.com/) but no platform signal found on it or 2 booking-ish ,
Dymock Grange Golf Club,unresolved,gloucestershire,unknown,0,,homepage loaded (https://www.dymockgrangegolf.co.uk/) but no platform signal found on it or 1 booking-ish link,
Lydney Golf Club,unresolved,gloucestershire,unknown,0,,homepage loaded (https://www.lydneygolfclub.co.uk/) but no platform signal found on it or 1 booking-ish link(s,
Newent Golf Club,unresolved,gloucestershire,unknown,0,,homepage loaded (https://www.newentgolf.co.uk/) but no platform signal found on it or 1 booking-ish link(s),
Shipton Golf Course,unresolved,gloucestershire,unknown,0,,homepage loaded (https://www.shiptongolf.co.uk/) but no platform signal found on it or 2 booking-ish link(s),
Shortwood Lodge Golf Club,unresolved,gloucestershire,no_site,0,,no working website found,
Tewkesbury Park Golf Club,unresolved,gloucestershire,no_site,0,,no working website found,
The Players Club,unresolved,gloucestershire,brs,0,,brs seen but no confirmed public visitor sheet — worth another look,
Tracy Park Golf & Country Park,unresolved,gloucestershire,no_site,0,,no working website found,
Ullenwood Manor Golf Course,unresolved,gloucestershire,error,0,,site refused or failed to load,
Westonbirt Golf Course,unresolved,gloucestershire,no_site,0,,no working website found,
Ashton on Mersey Golf Club,unresolved,greatermanchester,no_site,0,,no working website found,
Avro Golf Club,unresolved,greatermanchester,no_site,0,,no working website found,
Bardsley Park Golf Centre,unresolved,greatermanchester,no_site,0,,no working website found,
Bolton Old Links Golf Course,unresolved,greatermanchester,no_site,0,,no working website found,
Bowlee Park Golf Range,unresolved,greatermanchester,error,0,,site refused or failed to load,
Boysnope Park Golf Club,unresolved,greatermanchester,unknown,0,,homepage loaded (https://boysnope-golfclub.co.uk/) but no platform signal found on it or 0 booking-ish link(s),
Bramhall Golf Club,unresolved,greatermanchester,no_site,0,,no working website found,
Chorlton-cum-Hardy Golf Club,unresolved,greatermanchester,no_site,0,,no working website found,
Didsbury Golf Course,unresolved,greatermanchester,error,0,,site refused or failed to load,
Dunham Forest Golf and Country Club,unresolved,greatermanchester,no_site,0,,no working website found,
Hale Golf Course,unresolved,greatermanchester,no_site,0,,no working website found,
Harwood Golf Club,unresolved,greatermanchester,no_site,0,,no working website found,
Hazel Grove Golf Club,unresolved,greatermanchester,no_site,0,,no working website found,
Heaton Mersey Valley Golf Course,unresolved,greatermanchester,no_site,0,,no working website found,
Heaton Moor Golf Club,unresolved,greatermanchester,no_site,0,,no working website found,
Mariott Worsley Park Golf Club,unresolved,greatermanchester,unknown,0,,site reachable (https://www.marriott.com/en-gb/default.mi) but no visitor booking found on it or 1 sub-page(s),
Marland Golf Course,unresolved,greatermanchester,error,0,,site refused or failed to load,
Mellor and Townscliffe Golf Course,unresolved,greatermanchester,no_site,0,,no working website found,
North Manchester Golf Course,unresolved,greatermanchester,brs,0,,brs seen but no confirmed public visitor sheet — worth another look,
Pitch and Putt,unresolved,greatermanchester,no_site,0,,no working website found,
Porters Wood Golf Course,unresolved,greatermanchester,unknown,0,,homepage loaded (https://porterswoodgolfcourse.co.uk/) but no platform signal found on it or 0 booking-ish lin,
Reddish Vale Golf Course,unresolved,greatermanchester,no_site,0,,no working website found,
Romiley Golf Course,unresolved,greatermanchester,no_site,0,,no working website found,
Sale Golf Club,unresolved,greatermanchester,no_site,0,,no working website found,
Stamford Golf Club,unresolved,greatermanchester,no_site,0,,no working website found,
Stockport Golf Club,unresolved,greatermanchester,no_site,0,,no working website found,
Trafford Golf Centre,unresolved,greatermanchester,unknown,0,,homepage loaded (https://www.traffordgolfcentre.co.uk/) but no platform signal found on it or 3 booking-ish li,
Worsley Golf Course,unresolved,greatermanchester,no_site,0,,no working website found,
Ampfield Golf & Country Club,unresolved,hampshire,unknown,0,,homepage loaded (https://www.ampfieldgolf.com/) but no platform signal found on it or 3 booking-ish link(s),
Army Golf Course,unresolved,hampshire,intelligent_golf,0,,intelligent_golf seen but no confirmed public visitor sheet — worth another look,
Barton on Sea Golf Club,unresolved,hampshire,intelligent_golf,0,,intelligent_golf seen but no confirmed public visitor sheet — worth another look,
Bermuda Golf Academy,unresolved,hampshire,no_site,0,,no working website found,
Bide-A-Wee Golf Course,unresolved,hampshire,no_site,0,,no working website found,
Blacknest Golf & Country Club,unresolved,hampshire,unknown,0,,homepage loaded (https://www.blacknestcountryclub.co.uk/) but no platform signal found on it or 4 booking-ish ,
Charlton Lakeside Leisure Centre,unresolved,hampshire,no_site,0,,no working website found,
Chilworth Golf Centre,unresolved,hampshire,chronogolf,0,,chronogolf seen but no confirmed public visitor sheet — worth another look,https://cdn2.chronogolf.com/widgets/v2
City Park Starter Shack,unresolved,hampshire,no_site,0,,no working website found,
Denmead Golf Course,unresolved,hampshire,no_site,0,,no working website found,
Dibden Golf Centre,unresolved,hampshire,unknown,0,,homepage loaded (https://www.bramshotthillgolfclub.org/) but no platform signal found on it or 0 booking-ish l,
Eastney Pitch-and-Putt,unresolved,hampshire,no_site,0,,no working website found,
Elizabeth Manor Golf & Country Club,unresolved,hampshire,no_site,0,,no working website found,
Fleetlands Golf Club,unresolved,hampshire,intelligent_golf,0,,intelligent_golf seen but no confirmed public visitor sheet — worth another look,
Four Marks Golf,unresolved,hampshire,no_site,0,,no working website found,
Great Salterns Golf Course,unresolved,hampshire,no_site,0,,no working website found,
Hartley Wintney Golf Course,unresolved,hampshire,unknown,0,,site reachable (https://www.hartleywintneygolfclub.com/) but no visitor booking found on it or 1 sub-page(s),
Leckford Golf Course,unresolved,hampshire,error,0,,site refused or failed to load,
Meon Course,unresolved,hampshire,unknown,0,,site reachable (https://www.marriott.com/en-gb/default.mi) but no visitor booking found on it or 1 sub-page(s),
North Hants Golf Club,unresolved,hampshire,intelligent_golf,0,,intelligent_golf seen but no confirmed public visitor sheet — worth another look,https://northhants.intelligentgolf.co.uk/visitorbooking/
Ordnance Survey Golf Club,unresolved,hampshire,error,0,,site refused or failed to load,
Otterbourne Golf Course,unresolved,hampshire,unknown,0,,homepage loaded (https://www.otterbournegolfclub.com/) but no platform signal found on it or 2 booking-ish lin,
Portsmouth Golf Club,unresolved,hampshire,error,0,,site refused or failed to load,
Riversdown Golf Course,unresolved,hampshire,no_site,0,,no working website found,
Romsey Golf Club,unresolved,hampshire,unknown,0,,homepage loaded (https://www.romseygolfclub.com/) but no platform signal found on it or 10 booking-ish link(s),
Rowlands Castle Golf Course,unresolved,hampshire,unknown,0,,site reachable (https://rowlandscastlegolfclub.co.uk/) but no visitor booking found on it or 0 sub-page(s),
Sandford Springs Hotel & Golf Club,unresolved,hampshire,unknown,0,,homepage loaded (https://www.sandfordsprings.co.uk/) but no platform signal found on it or 9 booking-ish link(,
Southampton City Golf Course,unresolved,hampshire,unknown,0,,site reachable (https://southamptongolfclub.co.uk/) but no visitor booking found on it or 0 sub-page(s),
Southsea Golf Club,unresolved,hampshire,unknown,0,,homepage loaded (https://www.southsea-golf.co.uk/) but no platform signal found on it or 1 booking-ish link(s),
Swanmore Golf Centre,unresolved,hampshire,no_site,0,,no working website found,
The Hampshire Golf Club,unresolved,hampshire,brs,0,,brs seen but no confirmed public visitor sheet — worth another look,
Tournerbury Golf Course,unresolved,hampshire,intelligent_golf,0,,intelligent_golf seen but no confirmed public visitor sheet — worth another look,
Town Meadow Golf Course,unresolved,hampshire,unknown,0,,homepage loaded (https://orc.org.uk/golf/) but no platform signal found on it or 1 booking-ish link(s),
Tylney Park Golf Club,unresolved,hampshire,unknown,0,,site reachable (https://www.tylneypark.co.uk/) but no visitor booking found on it or 5 sub-page(s),
Walhampton Golf Club,unresolved,hampshire,error,0,,site refused or failed to load,
Wheatlands Golf Club,unresolved,hampshire,brs,0,,brs seen but no confirmed public visitor sheet — worth another look,https://visitors.brsgolf.com/wheatlands
Winchester Golf Academy,unresolved,hampshire,no_site,0,,no working website found,
Woodland course,unresolved,hampshire,no_site,0,,no working website found,
Brockington Hall Golf Club,unresolved,herefordshire,error,0,,site refused or failed to load,
Burghill Valley Golf Club,unresolved,herefordshire,unknown,0,,homepage loaded (https://www.burghill-valley-golf-club.co.uk/) but no platform signal found on it or 0 booking,
MFA Adventure Golf,unresolved,herefordshire,no_site,0,,no working website found,
Sapey Golf Club,unresolved,herefordshire,unknown,0,,homepage loaded (https://sapeygolf.co.uk/) but no platform signal found on it or 0 booking-ish link(s),
Summerhill Golf Club,unresolved,herefordshire,no_site,0,,no working website found,
Barkway Park Golf Club,unresolved,hertfordshire,error,0,,site refused or failed to load,
Batchwood Hall Golf Club,unresolved,hertfordshire,no_site,0,,no working website found,
Brickendon Grange Golf Club,unresolved,hertfordshire,no_site,0,,no working website found,
Briggens Park Golf Club,unresolved,hertfordshire,error,0,,site refused or failed to load,
Brookmans Park Golf Course,unresolved,hertfordshire,no_site,0,,no working website found,
Centurion Golf Club,unresolved,hertfordshire,no_site,0,,no working website found,
Chadwell Springs Golf Club,unresolved,hertfordshire,no_site,0,,no working website found,
Cheshunt Park Golf Course,unresolved,hertfordshire,dead_link,0,,no working website found,
Chorleywood Golf Club,unresolved,hertfordshire,no_site,0,,no working website found,
Dyrham Park Country Club,unresolved,hertfordshire,unknown,0,,homepage loaded (https://www.dyrhampark.com/) but no platform signal found on it or 2 booking-ish link(s),
East Herts Golf Club,unresolved,hertfordshire,unknown,0,,homepage loaded (https://www.easthertsgolfclub.co.uk/) but no platform signal found on it or 4 booking-ish lin,
Hanbury Manor Marriott Hotel & Country Club,unresolved,hertfordshire,unknown,0,,site reachable (https://www.marriott.com/en-gb/default.mi) but no visitor booking found on it or 1 sub-page(s),
Harpenden Common Golf Course,unresolved,hertfordshire,no_site,0,,no working website found,
Hartsbourne Country Club,unresolved,hertfordshire,unknown,0,,homepage loaded (https://www.hartsbournecountryclub.co.uk/) but no platform signal found on it or 0 booking-is,
Letchworth Golf Club,unresolved,hertfordshire,intelligent_golf,0,,intelligent_golf seen but no confirmed public visitor sheet — worth another look,mailto:info@intelligentgolf.co.uk
Melbourne Course,unresolved,hertfordshire,no_site,0,,no working website found,
Palmerston Course,unresolved,hertfordshire,no_site,0,,no working website found,
Panshanger Golf Complex,unresolved,hertfordshire,unknown,0,,site reachable (https://finesseleisure.com/) but no visitor booking found on it or 0 sub-page(s),
Radlett Golf Academy,unresolved,hertfordshire,no_site,0,,no working website found,
Rickmansworth Golf Course,unresolved,hertfordshire,no_site,0,,no working website found,
Shendish Manor Golf Course,unresolved,hertfordshire,unknown,0,,homepage loaded (https://www.shendishmanorgolfclub.co.uk/) but no platform signal found on it or 1 booking-ish,
Stevenage Golf Centre,unresolved,hertfordshire,error,0,,site refused or failed to load,
Stocks Golf Club,unresolved,hertfordshire,unknown,0,,homepage loaded (https://stocksgolfclub.co.uk/) but no platform signal found on it or 0 booking-ish link(s),
The Grove,unresolved,hertfordshire,no_site,0,,no working website found,
The Hertfordshire Golf & Country Club,unresolved,hertfordshire,error,0,,site refused or failed to load,
The Hertsmere,unresolved,hertfordshire,golf_manager,0,,golf_manager seen but no confirmed public visitor sheet — worth another look,https://www.thehertsmere.co.uk/the-course/pay-and-play/
The Manor of Groves Golf Course,unresolved,hertfordshire,unknown,0,,homepage loaded (https://www.manorofgroves.com/) but no platform signal found on it or 3 booking-ish link(s),
Three Lakes Golf Course,unresolved,hertfordshire,unknown,0,,homepage loaded (https://threelakespar3.co.uk/) but no platform signal found on it or 0 booking-ish link(s),
Welwyn Garden City Golf Club,unresolved,hertfordshire,unknown,0,,homepage loaded (https://www.welwyngardencitygolfclub.co.uk/) but no platform signal found on it or 2 booking-,
Wheathampstead Pay & Play Golf Course,unresolved,hertfordshire,unknown,0,,homepage loaded (https://www.wheathampsteadgolfvillage.com/) but no platform signal found on it or 1 booking-i,
Ashdown Park,unresolved,kent,unknown,0,,homepage loaded (https://www.ashdownpark.com/) but no platform signal found on it or 6 booking-ish link(s),
Villa Golf Club,unresolved,kent,unknown,0,,homepage loaded (https://www.villagolfcourse.co.uk/) but no platform signal found on it or 2 booking-ish link(,
Allhallows Golf Course,unresolved,kent/sussex,no_site,0,,no working website found,
Bay View Park Executive Golf Course,unresolved,kent/sussex,no_site,0,,no working website found,
Bede's Golf Course,unresolved,kent/sussex,no_site,0,,no working website found,
Birch House Golf Course,unresolved,kent/sussex,no_site,0,,no working website found,
Burgess Hill Golf Centre,unresolved,kent/sussex,no_site,0,,no working website found,
Cottesmore Hotel Golf & Country Club,unresolved,kent/sussex,no_site,0,,no working website found,
Cowdray Park Golf Club,unresolved,kent/sussex,esp,0,,esp seen but no confirmed public visitor sheet — worth another look,
Denne Park Golf Course,unresolved,kent/sussex,no_site,0,,no working website found,
Dewlands Manor Golf Course,unresolved,kent/sussex,no_site,0,,no working website found,
East Sussex National Golf Resort and Spa,unresolved,kent/sussex,unknown,0,,homepage loaded (https://eastsussexnational.co.uk/) but no platform signal found on it or 7 booking-ish link(s,
Eastwell Manor,unresolved,kent/sussex,no_site,0,,no working website found,
Fawkham Valley Golf Club,unresolved,kent/sussex,no_site,0,,no working website found,
Gillingham Golf Club,unresolved,kent/sussex,intelligent_golf,0,,intelligent_golf seen but no confirmed public visitor sheet — worth another look,
GolfPark - Maresfield,unresolved,kent/sussex,no_site,0,,no working website found,
Great Chart Golf & Leisure,unresolved,kent/sussex,no_site,0,,no working website found,
Highwoods Golf Club,unresolved,kent/sussex,brs,0,,brs seen but no confirmed public visitor sheet — worth another look,https://visitors.brsgolf.com/highwoodsgc#/visitor-booking
Hilden Golf Centre,unresolved,kent/sussex,no_site,0,,no working website found,
Homelands Golf Centre,unresolved,kent/sussex,no_site,0,,no working website found,
Horam Park Golf Club,unresolved,kent/sussex,unknown,0,,homepage loaded (https://www.horamparkgolfclub.co.uk/) but no platform signal found on it or 2 booking-ish lin,
Horton Golf Club,unresolved,kent/sussex,no_site,0,,no working website found,
Kent & Surrey Golf & Country Club,unresolved,kent/sussex,no_site,0,,no working website found,
Leas Course,unresolved,kent/sussex,no_site,0,,no working website found,
Manston Golf Centre,unresolved,kent/sussex,unknown,0,,homepage loaded (https://www.manstongolfcentre.co.uk/) but no platform signal found on it or 3 booking-ish lin,
Poult Wood Golf Course - 18 Hole,unresolved,kent/sussex,blocked,0,,site refused or failed to load,
Poult Wood Golf Course - 9 Hole,unresolved,kent/sussex,blocked,0,,site refused or failed to load,
Rochester and Cobham Park Golf Club,unresolved,kent/sussex,intelligent_golf,0,,intelligent_golf seen but no confirmed public visitor sheet — worth another look,
Roundwood Hall Golf Club,unresolved,kent/sussex,unknown,0,,homepage loaded (https://www.roundwoodhall.co.uk/) but no platform signal found on it or 0 booking-ish link(s),
